image,url,sections,page_path,published_at,title,updated_at,type,description,external_id,popularity,info,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,Undertone,language,Mood,Project,Family,Shade,Interior/Exterior,cdp,Color Collection,Style,PrimaryColorFamily,Value,Color Family
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-148-blue-stream-1668-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1668/blue-stream,"['Blue Stream', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1668/blue-stream,2024-07-30T12:16:38Z,Blue Stream 1668 | Benjamin Moore,2024-07-30T12:16:37Z,Color,"Muted and powdery soft, this go-with-the-flow blue fits easily into any space.",e5c75382cdfd3efbc502f3451a2c386b2512ece5,1,,"{'title': '<em>Blue</em> Stream 1668 | Benjamin Moore', 'sections': '<em>Blue</em> Stream', 'description': 'Muted and powdery soft, this go-with-the-flow <em>blue</em> fits easily into any space.', 'color_name': '<em>Blue</em> Stream', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;1668&#x2F;<em>blue</em>-stream', 'Family': '<em>Blue</em>'}",6242d4b028ccbc75dadd9e92,1668,,,B0C9D0,Blue Stream,,,"['Bright', 'Calming', 'Chaming', 'Pale']","['Bedroom', 'Cabinet', 'Kitchen', 'Living Room']",Blue,Medium,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,Cottage,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-136-blue-toile-748-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/748/blue-toile,"['Blue Toile', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/748/blue-toile,2024-07-30T13:30:00Z,Blue Toile 748 | Benjamin Moore,2024-07-03T13:27:42Z,Color,A classic muted blue that echoes the timeless charm of a toile pattern.,dba265e64c5c5aa4de981418014eac2fc88d5db9,1,,"{'title': '<em>Blue</em> Toile 748 | Benjamin Moore', 'sections': '<em>Blue</em> Toile', 'description': 'A classic muted <em>blue</em> that echoes the timeless charm of a toile pattern.', 'color_name': '<em>Blue</em> Toile', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;748&#x2F;<em>blue</em>-toile', 'Family': '<em>Blue</em>'}",624305b2e7b9d2a8c80f5397,748,,,5598A9,Blue Toile,,,,,Blue,Medium,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-131-dusky-blue-1640-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1640/dusky-blue,"['Dusky Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1640/dusky-blue,2024-07-30T19:11:32Z,Dusky Blue 1640 | Benjamin Moore,2024-07-30T19:11:32Z,Color,"A soft blue, this color evokes a sense of effortless calm.",2e37b9ebcdaec2cb501f25ea2e51470bf70601e7,1,,"{'title': 'Dusky <em>Blue</em> 1640 | Benjamin Moore', 'sections': 'Dusky <em>Blue</em>', 'description': 'A soft <em>blue</em>, this color evokes a sense of effortless calm.', 'color_name': 'Dusky <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;1640&#x2F;dusky-<em>blue</em>', 'Family': '<em>Blue</em>'}",6242953528ccbcaaf9dd9573,1640,,,BDD1D4,Dusky Blue,,,,,Blue,Light,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-129-salzburg-blue-755-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/755/salzburg-blue,"['Salzburg Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/755/salzburg-blue,2024-07-30T21:50:21Z,Salzburg Blue 755 | Benjamin Moore,2024-07-30T21:50:20Z,Color,"A touch of green brings out a more relaxed side to this deep, elegant blue.",af6232a8d901862ece20184f17fadff46fec7758,1,,"{'title': 'Salzburg <em>Blue</em> 755 | Benjamin Moore', 'sections': 'Salzburg <em>Blue</em>', 'description': 'A touch of green brings out a more relaxed side to this deep, elegant <em>blue</em>.', 'color_name': 'Salzburg <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;755&#x2F;salzburg-<em>blue</em>', 'Family': '<em>Blue</em>'}",6242712ee7b9d27c700f4ee6,755,,,2C8392,Salzburg Blue,,,,,Blue,Dark,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-136-blue-rapids-745-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/745/blue-rapids,"['Blue Rapids', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/745/blue-rapids,2024-07-30T20:43:11Z,Blue Rapids 745 | Benjamin Moore,2024-07-30T20:43:10Z,Color,A satisfying surf blue that delivers plenty of cheer and charm.,3fccc2d47a08f0d6916fb8908f09f8ede2595b2e,1,,"{'title': '<em>Blue</em> Rapids 745 | Benjamin Moore', 'sections': '<em>Blue</em> Rapids', 'description': 'A satisfying surf <em>blue</em> that delivers plenty of cheer and charm.', 'color_name': '<em>Blue</em> Rapids', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;745&#x2F;<em>blue</em>-rapids', 'Family': '<em>Blue</em>'}",6242ffb064441f3d1f003af2,745,,,95C8D2,Blue Rapids,,,,,Blue,Medium,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-167-bayberry-blue-790-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/790/bayberry-blue,"['Bayberry Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/790/bayberry-blue,2024-07-30T23:06:32Z,Bayberry Blue 790 | Benjamin Moore,2024-07-30T23:06:32Z,Color,"Captivating and carefree, this cerulean blue provokes delight wherever it's used.",8d4a696ffc6ad4a213654884977d9d7c4ac29a26,1,,"{'title': 'Bayberry <em>Blue</em> 790 | Benjamin Moore', 'sections': 'Bayberry <em>Blue</em>', 'description': 'Captivating and carefree, this cerulean <em>blue</em> provokes delight wherever it&#x27;s used.', 'color_name': 'Bayberry <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;790&#x2F;bayberry-<em>blue</em>', 'Family': '<em>Blue</em>'}",6242caabe7b9d221e80f4458,790,,,3F9DD1,Bayberry Blue,,,,,Blue,Medium,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-140-athenian-blue-773-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/773/athenian-blue,"['Athenian Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/773/athenian-blue,2024-08-03T18:30:46Z,Athenian Blue 773 | Benjamin Moore,2024-07-05T18:44:45Z,Color,"Cheerful and breezy, this cerulean hue bottles the feeling of clear blue skies.",fa03cedaa230c4de0ff3ec06aad5ca3d1782c97e,1,,"{'title': 'Athenian <em>Blue</em> 773 | Benjamin Moore', 'sections': 'Athenian <em>Blue</em>', 'description': 'Cheerful and breezy, this cerulean hue bottles the feeling of clear <em>blue</em> skies.', 'color_name': 'Athenian <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;773&#x2F;athenian-<em>blue</em>', 'Color Family': '<em>Blue</em>'}",6242f2c628ccbcf70cddae47,773,,,83B8D0,Athenian Blue,,,,,,,"['Interior', 'Exterior']",,Benjamin Moore Classics&reg;,,,Medium,Blue
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-128-blue-echo-AF-505-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-505/blue-echo,"['Blue Echo', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-505/blue-echo,2024-07-22T02:10:57Z,Blue Echo AF-505 | Benjamin Moore,2024-07-22T02:10:55Z,Color,A distinctive blue with the barest hint of green.,00cca5c7e9de7e905c6bfa4aa5c6a21aff287606,1,,"{'title': '<em>Blue</em> Echo AF-505 | Benjamin Moore', 'sections': '<em>Blue</em> Echo', 'description': 'A distinctive <em>blue</em> with the barest hint of green.', 'color_name': '<em>Blue</em> Echo', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;af-505&#x2F;<em>blue</em>-echo'}",6242950a28ccbcd75fdda623,AF-505,Medium,Cool,6E888D,Blue Echo,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-109-passion-blue-2053-50-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2053-50/passion-blue,"['Passion Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2053-50/passion-blue,2024-07-22T02:56:05Z,Passion Blue 2053-50 | Benjamin Moore,2024-07-22T02:56:05Z,Color,A distinctive medium blue cooled by gray undertones.,b7c3e028c3870a4a8f1dfb7a0f697504e7436ee5,1,,"{'title': 'Passion <em>Blue</em> 2053-50 | Benjamin Moore', 'sections': 'Passion <em>Blue</em>', 'description': 'A distinctive medium <em>blue</em> cooled by gray undertones.', 'color_name': 'Passion <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2053-50&#x2F;passion-<em>blue</em>'}",6242c71e196a67c95489722d,2053-50,Medium,Cool,8DC1CA,Passion Blue,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-109-blue-lake-2053-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2053-40/blue-lake,"['Blue Lake', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2053-40/blue-lake,2024-07-22T01:13:54Z,Blue Lake 2053-40 | Benjamin Moore,2024-07-22T01:13:54Z,Color,A medium blue-green with a cool slate veneer.,097edd4c7a4fc48ead20c8f2006a82084b416406,1,,"{'title': '<em>Blue</em> Lake 2053-40 | Benjamin Moore', 'sections': '<em>Blue</em> Lake', 'description': 'A medium <em>blue</em>-green with a cool slate veneer.', 'color_name': '<em>Blue</em> Lake', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2053-40&#x2F;<em>blue</em>-lake'}",6242efd164441f1c73004243,2053-40,Medium,Cool,569CA5,Blue Lake,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-119-tranquil-blue-2051-50-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2051-50/tranquil-blue,"['Tranquil Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2051-50/tranquil-blue,2024-07-21T22:15:15Z,Tranquil Blue 2051-50 | Benjamin Moore,2024-07-21T22:15:15Z,Color,Gray tones heighten the soothing quality of this blue-green.,3c36bc65da807fd76fd6ec40ce936a5f1bffde7f,1,,"{'title': 'Tranquil <em>Blue</em> 2051-50 | Benjamin Moore', 'sections': 'Tranquil <em>Blue</em>', 'description': 'Gray tones heighten the soothing quality of this <em>blue</em>-green.', 'color_name': 'Tranquil <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2051-50&#x2F;tranquil-<em>blue</em>'}",6242c217196a67b8e68948e4,2051-50,Medium,Cool,94C2C5,Tranquil Blue,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-117-arctic-blue-2050-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2050-60/arctic-blue,"['Arctic Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2050-60/arctic-blue,2024-07-21T20:20:04Z,Arctic Blue 2050-60 | Benjamin Moore,2024-07-21T20:20:03Z,Color,An eye-pleasing light green touched with crisp blue undertones.,2d83b11e0e0414669d41c4ed9795ace0d2c75c38,1,,"{'title': 'Arctic <em>Blue</em> 2050-60 | Benjamin Moore', 'sections': 'Arctic <em>Blue</em>', 'description': 'An eye-pleasing light green touched with crisp <em>blue</em> undertones.', 'color_name': 'Arctic <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2050-60&#x2F;arctic-<em>blue</em>'}",624296d1196a671e2b894b52,2050-60,Light,Cool,C4E3E1,Arctic Blue,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-118-pool-blue-2052-50-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2052-50/pool-blue,"['Pool Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2052-50/pool-blue,2024-07-21T22:38:16Z,Pool Blue 2052-50 | Benjamin Moore,2024-07-21T22:38:15Z,Color,A splash of green animates this crisp medium blue.,600528ba460353f8e9a6fde991feed53ad1d949b,1,,"{'title': 'Pool <em>Blue</em> 2052-50 | Benjamin Moore', 'sections': 'Pool <em>Blue</em>', 'description': 'A splash of green animates this crisp medium <em>blue</em>.', 'color_name': 'Pool <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2052-50&#x2F;pool-<em>blue</em>'}",6242fea164441f5136005fe6,2052-50,Medium,Cool,85C1C8,Pool Blue,,,,,,,,,,,,,
