image,url,sections,page_path,published_at,title,updated_at,type,description,external_id,popularity,info,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,Undertone,PrimaryColorFamily,Mood,Project,Family,Shade,Interior/Exterior,cdp,Color Collection,Style,language
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-183-mystic-gold-HC-37-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-37/mystic-gold,"['Mystic Gold', 'Matching Colors', 'Similar Colors', 'Color By Family', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/hc-37/mystic-gold,2024-07-21T23:51:30Z,Mystic Gold HC-37 | Benjamin Moore,2024-07-21T23:51:30Z,Color,Deep honey tones define this earthy bronze.,bf2674f6ca8bfc594083e4535c62c9f2ef425824,1,,{'Undertone': '<em>Yellow</em>'},62461b9028ccbc01e3dd99c9,HC-37,Medium,Warm,A7885B,Mystic Gold,Yellow,Neutral,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-061-banana-yellow-2022-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2022-40/banana-yellow,"['Banana Yellow', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2022-40/banana-yellow,2024-07-22T01:39:51Z,Banana Yellow 2022-40 | Benjamin Moore,2024-07-22T01:39:51Z,Color,A vibrant wash of yellow with surprising versatility.,8d1b509d4e71e34f9a5e4f6bfc20f33da9f7e4e6,1,,"{'title': 'Banana <em>Yellow</em> 2022-40 | Benjamin Moore', 'sections': 'Banana <em>Yellow</em>', 'description': 'A vibrant wash of <em>yellow</em> with surprising versatility.', 'color_name': 'Banana <em>Yellow</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2022-40&#x2F;banana-<em>yellow</em>', 'PrimaryColorFamily': '<em>Yellow</em>', 'Undertone': '<em>Yellow</em>'}",62426000e7b9d24dc20f3eee,2022-40,Light,Warm,FFE765,Banana Yellow,Yellow,Yellow,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-051-yellow-highlighter-2021-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2021-40/yellow-highlighter,"['Yellow Highlighter', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2021-40/yellow-highlighter,2024-07-22T04:28:47Z,Yellow Highlighter 2021-40 | Benjamin Moore,2024-07-22T04:28:46Z,Color,A light yet bright yellow that commands attention.,494f39f422e760ea6189fcdd76e133e963a5d1a3,1,,"{'title': '<em>Yellow</em> Highlighter 2021-40 | Benjamin Moore', 'sections': '<em>Yellow</em> Highlighter', 'description': 'A light yet bright <em>yellow</em> that commands attention.', 'color_name': '<em>Yellow</em> Highlighter', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2021-40&#x2F;<em>yellow</em>-highlighter', 'PrimaryColorFamily': '<em>Yellow</em>'}",62423e0de7b9d2d44c0f6013,2021-40,Light,Warm,FFDE64,Yellow Highlighter,,Yellow,,,,,,,,,
https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-families/color-families-yellow/colorbyfamilyyellow_hero_mobile_640x640.jpg,https://www.benjaminmoore.com/en-us/color-overview/color-palettes/color-families/yellow-paint-colors,"['Yellow Paint Color by Family', 'From rich and decadent gold tones, to pale, buttercream hues, yellow paint colors lift spirits while providing warmth and comfort.', 'Most Popular Yellow Paint Colors', 'Go for the Gold (Paint)', 'A Sunny Yellow Kitchen', 'The Subtle Effect of the Pale Yellow Wall', 'Yellow Exteriors: A Natural Hue', 'Buy a Paint Sample', 'Ideas & Inspiration', 'Ready to Explore?', 'Benjamin Moore', 'For Professionals', 'Customer Service', 'Buy Paints and Stain']",/en-us/color-overview/color-palettes/color-families/yellow-paint-colors,2024-08-03T18:51:52Z,Yellow Paint Ideas | Benjamin Moore,2024-07-18T18:44:49Z,Color,Get inspiration on finding the perfect yellow paint color for your home.,883e0b68cd0dd75aa08958287bdb4bd975aab27d,1,,"{'title': '<em>Yellow</em> Paint Ideas | Benjamin Moore', 'sections': '<em>Yellow</em> Paint Color by Family', 'description': 'Get inspiration on finding the perfect <em>yellow</em> paint color for your home.', 'page_path': '&#x2F;en-us&#x2F;color-overview&#x2F;color-palettes&#x2F;color-families&#x2F;<em>yellow</em>-paint-colors'}",5e9b46a9e7b9d28dc2a7b8ee,,,,,,,,,,,,,,,,en-us
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-061-yellow-2022-10-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2022-10/yellow,"['Yellow', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2022-10/yellow,2024-07-30T12:17:23Z,Yellow 2022-10 | Benjamin Moore,2024-07-30T12:17:23Z,Color,"A bold, primary shade of yellow that conveys youth, cheer and imagination.",0fcf60e6a8bcc690be7b01b343996535e937d752,1,,"{'title': '<em>Yellow</em> 2022-10 | Benjamin Moore', 'sections': '<em>Yellow</em>', 'description': 'A bold, primary shade of <em>yellow</em> that conveys youth, cheer and imagination.', 'color_name': '<em>Yellow</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2022-10&#x2F;<em>yellow</em>', 'Family': '<em>Yellow</em>'}",62424b7328ccbc7d55dda8cf,2022-10,,,FFD400,Yellow,,,"['Bright', 'Chaming']","['Cabinet', 'Kitchen', 'Living Room']",Yellow,Light,Interior,true,Color Preview&reg;,"['Coastal', 'Cottage', 'Modern']",
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-066-yosemite-yellow-215-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/215/yosemite-yellow,"['Yosemite Yellow', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/215/yosemite-yellow,2024-07-22T01:53:26Z,Yosemite Yellow 215 | Benjamin Moore,2024-07-22T01:53:25Z,Color,An earthy shade of yellow reminiscent of the many yellow wildflowers that dot Yosemite National Park.,603dac77da4132bee35c178b30bd23ba450719ab,1,,"{'title': 'Yosemite <em>Yellow</em> 215 | Benjamin Moore', 'sections': 'Yosemite <em>Yellow</em>', 'description': 'An earthy shade of <em>yellow</em> reminiscent of the many <em>yellow</em> wildflowers that dot Yosemite National Park.', 'color_name': 'Yosemite <em>Yellow</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;215&#x2F;yosemite-<em>yellow</em>', 'PrimaryColorFamily': '<em>Yellow</em>'}",62428387e7b9d2ad200f3f0c,215,Light,Warm,E1CA84,Yosemite Yellow,,Yellow,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-069-yellow-roses-353-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/353/yellow-roses,"['Yellow Roses', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/353/yellow-roses,2024-07-22T04:09:54Z,Yellow Roses 353 | Benjamin Moore,2024-07-22T04:09:54Z,Color,An intoxicating yellow that recalls the understated drama of a single yellow rose.,f3bed9f5c8b1fc1074ba7ea32a81960a64336570,1,,"{'title': '<em>Yellow</em> Roses 353 | Benjamin Moore', 'sections': '<em>Yellow</em> Roses', 'description': 'An intoxicating <em>yellow</em> that recalls the understated drama of a single <em>yellow</em> rose.', 'color_name': '<em>Yellow</em> Roses', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;353&#x2F;<em>yellow</em>-roses', 'PrimaryColorFamily': '<em>Yellow</em>', 'Undertone': '<em>Yellow</em>'}",6242ff6728ccbc218bdda502,353,Light,Warm,F6E485,Yellow Roses,Yellow,Yellow,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-063-chamber-yellow-CW-410-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cw-410/chamber-yellow,"['Chamber Yellow', 'Matching Colors', 'Color By Family']",/en-us/paint-colors/color/cw-410/chamber-yellow,2024-06-28T19:53:15Z,Chamber Yellow CW-410 | Benjamin Moore,2024-06-28T19:53:15Z,Color,"Based on 18th century white paints tinged with a touch of yellow ochre pigment, this pale, lemony yellow is youthful and fresh.",f35f470b63a2a5f000030e6e9f4491d471af3523,1,,"{'title': 'Chamber <em>Yellow</em> CW-410 | Benjamin Moore', 'sections': 'Chamber <em>Yellow</em>', 'description': 'Based on 18th century white paints tinged with a touch of <em>yellow</em> ochre pigment, this pale, lemony <em>yellow</em> is youthful and fresh.', 'color_name': 'Chamber <em>Yellow</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cw-410&#x2F;chamber-<em>yellow</em>', 'PrimaryColorFamily': '<em>Yellow</em>'}",624801a3e7b9d276e60f427c,CW-410,Light,Warm,EFE5BA,Chamber Yellow,,Yellow,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-054-sweeney-yellow-CW-370-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cw-370/sweeney-yellow,"['Sweeney Yellow', 'Matching Colors', 'Color By Family']",/en-us/paint-colors/color/cw-370/sweeney-yellow,2024-07-20T20:39:38Z,Sweeney Yellow CW-370 | Benjamin Moore,2024-07-20T20:39:38Z,Color,"A buttery, warm shade of yellow, this rich hue is based on 18th century paint using white and yellow ochre pigments. It will add a visible glow to any space.",5bcd9a30ffeed590205a20a0f6f856a178cc2057,1,,"{'title': 'Sweeney <em>Yellow</em> CW-370 | Benjamin Moore', 'sections': 'Sweeney <em>Yellow</em>', 'description': 'A buttery, warm shade of <em>yellow</em>, this rich hue is based on 18th century paint using white and <em>yellow</em> ochre pigments. It will add a visible glow to any space.', 'color_name': 'Sweeney <em>Yellow</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cw-370&#x2F;sweeney-<em>yellow</em>', 'PrimaryColorFamily': '<em>Yellow</em>', 'Undertone': '<em>Yellow</em>'}",6249651de7b9d2e3d30f5506,CW-370,Medium,Warm,E1C491,Sweeney Yellow,Yellow,Yellow,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-050-imperial-yellow-314-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/314/imperial-yellow,"['Imperial Yellow', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/314/imperial-yellow,2024-07-22T03:05:37Z,Imperial Yellow 314 | Benjamin Moore,2024-07-03T16:51:46Z,Color,An intense yellow accented with a touch of orange.,4821c84a2d216ff02557326d666cc8511e074019,1,,"{'title': 'Imperial <em>Yellow</em> 314 | Benjamin Moore', 'sections': 'Imperial <em>Yellow</em>', 'description': 'An intense <em>yellow</em> accented with a touch of orange.', 'color_name': 'Imperial <em>Yellow</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;314&#x2F;imperial-<em>yellow</em>', 'PrimaryColorFamily': '<em>Yellow</em>'}",6242ef0ce7b9d201e60f4b28,314,Light,Warm,FCC550,Imperial Yellow,,Yellow,,,,,,,,,
