image,url,sections,page_path,published_at,title,updated_at,type,description,external_id,popularity,info,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,PrimaryColorFamily,language,Undertone,Family,Shade,Interior/Exterior,cdp,Color Collection,Mood,Project,Style,Opacity
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-006-bulls-eye-red-2002-20-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2002-20/bulls-eye-red,"[""Bull's Eye Red"", 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2002-20/bulls-eye-red,2024-07-21T22:51:41Z,Bull's Eye Red 2002-20 | Benjamin Moore,2024-07-21T22:51:40Z,Color,Orange-pink undertones give this reliable red effortless charm.,e8482688ac44362407d536305465cd7aadfb9b25,1,,"{'title': 'Bull&#x27;s Eye <em>Red</em> 2002-20 | Benjamin Moore', 'sections': 'Bull&#x27;s Eye <em>Red</em>', 'description': 'Orange-pink undertones give this reliable <em>red</em> effortless charm.', 'color_name': 'Bull&#x27;s Eye <em>Red</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2002-20&#x2F;bulls-eye-<em>red</em>', 'PrimaryColorFamily': '<em>Red</em>'}",6242c1ca196a678f09897189,2002-20,Dark,Warm,D93E3C,Bull's Eye Red,Red,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-021-burnt-peanut-red-2081-10-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2081-10/burnt-peanut-red,"['Burnt Peanut Red', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2081-10/burnt-peanut-red,2024-07-30T16:25:56Z,Burnt Peanut Red 2081-10 | Benjamin Moore,2024-07-30T16:25:55Z,Color,A shade of brick red with toasty brown undertones.,f93c6e0051bc74c85a1f4315b219c766d160f362,1,,"{'title': 'Burnt Peanut <em>Red</em> 2081-10 | Benjamin Moore', 'sections': 'Burnt Peanut <em>Red</em>', 'description': 'A shade of brick <em>red</em> with toasty brown undertones.', 'color_name': 'Burnt Peanut <em>Red</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2081-10&#x2F;burnt-peanut-<em>red</em>', 'Family': '<em>Red</em>'}",6242d0b764441f5c790047cd,2081-10,,,A14048,Burnt Peanut Red,,,,Red,Dark,"['Interior', 'Exterior']",true,Color Preview&reg;,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-015-maple-leaf-red-2084-20-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2084-20/maple-leaf-red,"['Maple Leaf Red', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2084-20/maple-leaf-red,2024-07-21T22:39:01Z,Maple Leaf Red 2084-20 | Benjamin Moore,2024-07-21T22:39:00Z,Color,An orange-tinged red that echoes the first signs of fall.,e89cc85ad06abccc058b3b8aae3bb19b1d200550,1,,"{'title': 'Maple Leaf <em>Red</em> 2084-20 | Benjamin Moore', 'sections': 'Maple Leaf <em>Red</em>', 'description': 'An orange-tinged <em>red</em> that echoes the first signs of fall.', 'color_name': 'Maple Leaf <em>Red</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2084-20&#x2F;maple-leaf-<em>red</em>', 'PrimaryColorFamily': '<em>Red</em>'}",6242dd9b28ccbc9e2eddbd59,2084-20,Dark,Warm,914443,Maple Leaf Red,Red,,Brown,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-004-grand-canyon-red-2090-10-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2090-10/grand-canyon-red,"['Grand Canyon Red', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2090-10/grand-canyon-red,2024-07-30T21:47:41Z,Grand Canyon Red 2090-10 | Benjamin Moore,2024-07-30T21:47:41Z,Color,An intense iron oxide red that evokes the natural majesty of the American West.,5fb6b327c00f0e2f43d158420ca2eb9e8bee8a6a,1,,"{'title': 'Grand Canyon <em>Red</em> 2090-10 | Benjamin Moore', 'sections': 'Grand Canyon <em>Red</em>', 'description': 'An intense iron oxide <em>red</em> that evokes the natural majesty of the American West.', 'color_name': 'Grand Canyon <em>Red</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2090-10&#x2F;grand-canyon-<em>red</em>', 'Family': '<em>Red</em>'}",624256c6196a67782a894ddc,2090-10,,,974434,Grand Canyon Red,,,,Red,Dark,"['Interior', 'Exterior']",true,Color Preview&reg;,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-001-palace-arms-red-CW-255-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cw-255/palace-arms-red,"['Palace Arms Red', 'Matching Colors', 'Color By Family']",/en-us/paint-colors/color/cw-255/palace-arms-red,2024-07-20T21:45:13Z,Palace Arms Red CW-255 | Benjamin Moore,2024-07-20T21:45:13Z,Color,"A favorite shade on the exteriors of Williamsburg homes before 1750, this rich, regal red is timeless.",2b13c38f7e1a39d850d55a3ed6d216b3a5cc2d3d,1,,"{'title': 'Palace Arms <em>Red</em> CW-255 | Benjamin Moore', 'sections': 'Palace Arms <em>Red</em>', 'description': 'A favorite shade on the exteriors of Williamsburg homes before 1750, this rich, regal <em>red</em> is timeless.', 'color_name': 'Palace Arms <em>Red</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cw-255&#x2F;palace-arms-<em>red</em>', 'PrimaryColorFamily': '<em>Red</em>'}",64bdbc03e7b9d259639c9de9,CW-255,Dark,Warm,783C36,Palace Arms Red,Red,,Brown,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/Woodluxe-CDP-Outdoor-Seating-New-Pilgrim-Red-ES-21-RGB.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/es-21/new-pilgrim-red,"['New Pilgrim Red', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/es-21/new-pilgrim-red,2024-07-21T21:28:22Z,New Pilgrim Red ES-21 | Benjamin Moore,2024-07-21T21:28:21Z,Color,A rich red-brown hue that enriches the natural warmth of wood. Exclusive to Woodluxe® stain products.,9a73a6743a5d462933e068239ba16b371e25d776,1,,"{'title': 'New Pilgrim <em>Red</em> ES-21 | Benjamin Moore', 'sections': 'New Pilgrim <em>Red</em>', 'description': 'A rich <em>red</em>-brown hue that enriches the natural warmth of wood. Exclusive to Woodluxe® stain products.', 'color_name': 'New Pilgrim <em>Red</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;es-21&#x2F;new-pilgrim-<em>red</em>'}",656d6b8ce7b9d2d9e712f4f5,ES-21,,,674142,New Pilgrim Red,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-041-red-point-sand-CC-128-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cc-128/red-point-sand,"['Red Point Sand', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/cc-128/red-point-sand,2024-07-22T00:53:24Z,Red Point Sand CC-128 | Benjamin Moore,2024-07-22T00:53:23Z,Color,Rosy pink undertones lend a playful quality to this terracotta hue.,2837e6656c447b5836f28c6884fc3ee65b256187,1,,"{'title': '<em>Red</em> Point Sand CC-128 | Benjamin Moore', 'sections': '<em>Red</em> Point Sand', 'color_name': '<em>Red</em> Point Sand', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cc-128&#x2F;<em>red</em>-point-sand', 'PrimaryColorFamily': '<em>Red</em>'}",62473865196a67e6cd896e4c,CC-128,Dark,Warm,B36957,Red Point Sand,Red,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-012-st-george-red-CW-245-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cw-245/st-george-red,"['St. George Red', 'Matching Colors', 'Color By Family']",/en-us/paint-colors/color/cw-245/st-george-red,2024-07-22T01:03:30Z,St. George Red CW-245 | Benjamin Moore,2024-07-22T01:03:30Z,Color,"Named for St. George Tucker, one of Williamsburg's prominent citizens, this circa 1798 color was requested for his house facing Courthouse Green.",eec3f66ed9219daafa45e54e213becee4b45e102,1,,"{'title': 'St. George <em>Red</em> CW-245 | Benjamin Moore', 'sections': 'St. George <em>Red</em>', 'color_name': 'St. George <em>Red</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cw-245&#x2F;st-george-<em>red</em>', 'PrimaryColorFamily': '<em>Red</em>'}",62471bd928ccbc1b40dd9fd4,CW-245,Dark,Warm,8F514C,St. George Red,Red,,Brown,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-012-red-river-clay-2091-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2091-40/red-river-clay,"['Red River Clay', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2091-40/red-river-clay,2024-07-21T22:26:12Z,Red River Clay 2091-40 | Benjamin Moore,2024-07-21T22:26:11Z,Color,"A perfect marriage between rustic and romantic, this warm, toasted shade of rose is surprisingly versatile.",5ceaa0d3cd39b614faa21062785f8866fe635685,1,,"{'title': '<em>Red</em> River Clay 2091-40 | Benjamin Moore', 'sections': '<em>Red</em> River Clay', 'color_name': '<em>Red</em> River Clay', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2091-40&#x2F;<em>red</em>-river-clay', 'PrimaryColorFamily': '<em>Red</em>'}",62426d3e28ccbcbf79dd967f,2091-40,Medium,Warm,B36F67,Red River Clay,Red,,Brown,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-003-parisian-red-CSP-1170-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1170/parisian-red,"['Parisian Red®', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1170/parisian-red,2024-07-22T03:36:15Z,Parisian Red CSP-1170 | Benjamin Moore,2024-07-03T11:52:55Z,Color,"Entering the historic hotel, the elegant staircase beckoned them with its grandeur.",b94b3bccab54f208f277816d2c57433408e7eef8,1,,"{'title': 'Parisian <em>Red</em> CSP-1170 | Benjamin Moore', 'sections': 'Parisian <em>Red</em>®', 'color_name': 'Parisian <em>Red</em>&amp;reg;', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1170&#x2F;parisian-<em>red</em>', 'PrimaryColorFamily': '<em>Red</em>'}",6243164828ccbcfef6ddac97,CSP-1170,Dark,Warm,773935,Parisian Red&reg;,Red,,Brown,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-008-country-redwood-HC-183-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-183/country-redwood,"['Country Redwood', 'Matching Colors', 'Color By Family']",/en-us/paint-colors/color/hc-183/country-redwood,2024-07-22T04:31:24Z,Country Redwood HC-183 | Benjamin Moore,2024-07-22T04:31:24Z,Color,An orange-tinged burgundy that captures the earthier side of red.,ee068c9cabe71432a2a6b1a86844039c19f60834,1,,"{'title': 'Country <em>Redwood</em> HC-183 | Benjamin Moore', 'sections': 'Country <em>Redwood</em>', 'description': 'An orange-tinged burgundy that captures the earthier side of <em>red</em>.', 'color_name': 'Country <em>Redwood</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-183&#x2F;country-<em>redwood</em>', 'PrimaryColorFamily': '<em>Red</em>'}",6242901d196a679cb1896fc6,HC-183,Dark,Warm,762C23,Country Redwood,Red,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/Woodluxe-CDP-Deck-View-Redwood-ES-20-RGB.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/es-20/redwood,"['Redwood', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/es-20/redwood,2024-07-31T19:03:35Z,Redwood ES-20 | Benjamin Moore,2024-07-20T18:49:29Z,Color,An autumnal blend of red and brown that enhances warm hues from the natural wood.  Exclusive to Woodluxe® stain products.,4348469fb49321e3c77285f69b8ab780a7701083,1,,"{'title': '<em>Redwood</em> ES-20 | Benjamin Moore', 'sections': '<em>Redwood</em>', 'description': 'An autumnal blend of <em>red</em> and brown that enhances warm hues from the natural wood.  Exclusive to Woodluxe® stain products.', 'color_name': '<em>Redwood</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;es-20&#x2F;<em>redwood</em>'}",656d6b72e7b9d2211813010a,ES-20,,,82423A,Redwood,,,,,,"['Interior', 'Exterior']",true,Woodluxe<sup><small>&reg;</small></sup> Exterior Wood Stain Colors,,,,"['Semi-Solid', 'Semi-Transparent', 'Solid', 'Translucent', 'Ultra Flat Solid']"
