image,url,sections,page_path,published_at,title,updated_at,type,description,external_id,popularity,info,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,PrimaryColorFamily,Undertone,language,Family,Shade,Interior/Exterior,cdp,Color Collection
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-025-electric-orange-2015-10-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2015-10/electric-orange,"['Electric Orange', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2015-10/electric-orange,2024-07-22T00:10:01Z,Electric Orange 2015-10 | Benjamin Moore,2024-07-22T00:10:01Z,Color,"A lush, vibrant orange with an irresistible energy.",37f6bf61a2849fbc4be576d170a1e75353b10163,1,,"{'title': 'Electric <em>Orange</em> 2015-10 | Benjamin Moore', 'sections': 'Electric <em>Orange</em>', 'description': 'A lush, vibrant <em>orange</em> with an irresistible energy.', 'color_name': 'Electric <em>Orange</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2015-10&#x2F;electric-<em>orange</em>', 'PrimaryColorFamily': '<em>Orange</em>'}",62f7db6f196a676b6a5ba568,2015-10,Medium,Warm,F0701A,Electric Orange,Orange,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-036-orange-2011-10-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2011-10/orange,"['Orange', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2011-10/orange,2024-07-21T20:09:50Z,Orange 2011-10 | Benjamin Moore,2024-07-21T20:09:49Z,Color,"A pure, unadulterated orange with a crimson glow.",97765ea3d08c8bcd383ab1d6a0f9767c8d706b83,1,,"{'title': '<em>Orange</em> 2011-10 | Benjamin Moore', 'sections': '<em>Orange</em>', 'description': 'A pure, unadulterated <em>orange</em> with a crimson glow.', 'color_name': '<em>Orange</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2011-10&#x2F;<em>orange</em>', 'PrimaryColorFamily': '<em>Orange</em>'}",6242fe6928ccbc4aecdda02a,2011-10,Dark,Warm,E0412B,Orange,Orange,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-035-orange-blossom-2168-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2168-30/orange-blossom,"['Orange Blossom', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2168-30/orange-blossom,2024-07-21T22:25:00Z,Orange Blossom 2168-30 | Benjamin Moore,2024-07-21T22:24:59Z,Color,"With its drop of red, this jubilant shade of orange resembles the unique rind of blood orange.",0f980ac1bd92e858d4c6f907c106cd0daab36b74,1,,"{'title': '<em>Orange</em> Blossom 2168-30 | Benjamin Moore', 'sections': '<em>Orange</em> Blossom', 'description': 'With its drop of red, this jubilant shade of <em>orange</em> resembles the unique rind of blood <em>orange</em>.', 'color_name': '<em>Orange</em> Blossom', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2168-30&#x2F;<em>orange</em>-blossom', 'PrimaryColorFamily': '<em>Orange</em>'}",6242e934196a67271a896272,2168-30,Medium,Warm,DC8052,Orange Blossom,Orange,Brown,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-036-fiesta-orange-84-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/084/fiesta-orange,"['Fiesta Orange', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/084/fiesta-orange,2024-07-22T02:49:14Z,Fiesta Orange 084 | Benjamin Moore,2024-07-03T12:44:16Z,Color,"Nothing epitomizes fun more than this highly charged, radiant orange.",be99a340bddbb8d8b6308fd538adb756e6b6a41a,1,,"{'title': 'Fiesta <em>Orange</em> 084 | Benjamin Moore', 'sections': 'Fiesta <em>Orange</em>', 'description': 'Nothing epitomizes fun more than this highly charged, radiant <em>orange</em>.', 'color_name': 'Fiesta <em>Orange</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;084&#x2F;fiesta-<em>orange</em>', 'PrimaryColorFamily': '<em>Orange</em>'}",62424c05e7b9d2d1210f49cc,084,Medium,Warm,F0764B,Fiesta Orange,Orange,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-026-orange-froth-151-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/151/orange-froth,"['Orange Froth', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/151/orange-froth,2024-07-21T22:53:01Z,Orange Froth 151 | Benjamin Moore,2024-07-21T22:53:01Z,Color,A hint of cream mellows out this bright orange hue.,b919b6d228caed7807cb1aab48eb0e98a25a4f0f,1,,"{'title': '<em>Orange</em> Froth 151 | Benjamin Moore', 'sections': '<em>Orange</em> Froth', 'description': 'A hint of cream mellows out this bright <em>orange</em> hue.', 'color_name': '<em>Orange</em> Froth', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;151&#x2F;<em>orange</em>-froth', 'PrimaryColorFamily': '<em>Orange</em>'}",6242fae628ccbc77eaddba56,151,Light,Warm,FFD99F,Orange Froth,Orange,Yellow,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-053-orange-ice-166-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/166/orange-ice,"['Orange Ice', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/166/orange-ice,2024-07-21T22:09:14Z,Orange Ice 166 | Benjamin Moore,2024-07-21T22:09:14Z,Color,Earthy ochre undertones mellow out this medium orange.,2658a086499c2870b079f41a577cc25b254bcf0a,1,,"{'title': '<em>Orange</em> Ice 166 | Benjamin Moore', 'sections': '<em>Orange</em> Ice', 'description': 'Earthy ochre undertones mellow out this medium <em>orange</em>.', 'color_name': '<em>Orange</em> Ice', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;166&#x2F;<em>orange</em>-ice', 'PrimaryColorFamily': '<em>Orange</em>'}",6242e1bde7b9d21c190f637e,166,Medium,Warm,EBBC7F,Orange Ice,Orange,Yellow,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-052-pineapple-orange-158-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/158/pineapple-orange,"['Pineapple Orange', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/158/pineapple-orange,2024-07-30T16:25:15Z,Pineapple Orange 158 | Benjamin Moore,2024-07-30T16:25:14Z,Color,"Warm, sandy undertones mellow out this easygoing orange.",7c689aee9c9ffb872e804631b24f71ef141ffbc6,1,,"{'title': 'Pineapple <em>Orange</em> 158 | Benjamin Moore', 'sections': 'Pineapple <em>Orange</em>', 'description': 'Warm, sandy undertones mellow out this easygoing <em>orange</em>.', 'color_name': 'Pineapple <em>Orange</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;158&#x2F;pineapple-<em>orange</em>', 'Family': '<em>Orange</em>'}",6242c2f464441f49d60055c3,158,,,FAD4A4,Pineapple Orange,,,,Orange,Light,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-027-orange-sherbet-122-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/122/orange-sherbet,"['Orange Sherbet', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/122/orange-sherbet,2024-07-30T12:55:12Z,Orange Sherbet 122 | Benjamin Moore,2024-07-03T18:06:31Z,Color,"Crisp and radiant, this light orange almost seems to glow.",e11a60b923091780d466888107afd4e895e029e3,1,,"{'title': '<em>Orange</em> Sherbet 122 | Benjamin Moore', 'sections': '<em>Orange</em> Sherbet', 'description': 'Crisp and radiant, this light <em>orange</em> almost seems to glow.', 'color_name': '<em>Orange</em> Sherbet', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;122&#x2F;<em>orange</em>-sherbet', 'Family': '<em>Orange</em>'}",6242c2f428ccbc724addae86,122,,,FED1A5,Orange Sherbet,,,,Orange,Light,Interior,true,Benjamin Moore Classics&reg;
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-040-tangy-orange-2014-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2014-30/tangy-orange,"['Tangy Orange', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2014-30/tangy-orange,2024-07-22T02:48:08Z,Tangy Orange 2014-30 | Benjamin Moore,2024-07-22T02:48:08Z,Color,A classic medium orange that instantly energizes.,dbbadfa6b4bd5a08dfb47ec9460c2be3f39781fc,1,,"{'title': 'Tangy <em>Orange</em> 2014-30 | Benjamin Moore', 'sections': 'Tangy <em>Orange</em>', 'description': 'A classic medium <em>orange</em> that instantly energizes.', 'color_name': 'Tangy <em>Orange</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2014-30&#x2F;tangy-<em>orange</em>', 'PrimaryColorFamily': '<em>Orange</em>'}",624264da196a6791058953ce,2014-30,Medium,Warm,F77946,Tangy Orange,Orange,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-032-orange-creamsicle-59-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/059/orange-creamsicle,"['Orange Creamsicle', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/059/orange-creamsicle,2024-07-22T02:12:27Z,Orange Creamsicle 059 | Benjamin Moore,2024-07-22T02:12:26Z,Color,"Crisp and refreshing, this light orange brings a touch of sweetness to any space.",0b0ca959e60b9fb5254d4195ecd2782c5ec92bac,1,,"{'title': '<em>Orange</em> Creamsicle 059 | Benjamin Moore', 'sections': '<em>Orange</em> Creamsicle', 'description': 'Crisp and refreshing, this light <em>orange</em> brings a touch of sweetness to any space.', 'color_name': '<em>Orange</em> Creamsicle', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;059&#x2F;<em>orange</em>-creamsicle', 'PrimaryColorFamily': '<em>Orange</em>'}",6242914228ccbcc13edda267,059,Light,Warm,F4CBB3,Orange Creamsicle,Orange,Peach,,,,,,
