color_name,color_code,color_fam
Antique Coral,1198,orange
Farmer's Market,054,orange
Baked Terra Cotta,1202,orange
Spiced Pumpkin,034,orange
Salsa Dancing,AF-280,orange
Ecru,2014-70,orange
Whispering Peach,2014-60,orange
Springtime Peach,2014-50,orange
Coral Spice,2170-40,orange
Autumn Cover,2170-30,orange
Tropical Orange,2170-20,orange
Fire Dance,2171-20,orange
Sunset Hill,1212,orange
Peach Nectar,2168-60,orange
Summer Melon,2168-50,orange
Sausalito Sunset,074,orange
San Antonio Rose,027,orange
Prairie Lily,CC-98,orange
Fiery Opal,077,orange
Rosebud,065,orange
Forever Young,066,orange
Del Ray Peach,067,orange
Tuscan Tile,CSP-1130,orange
Coral Bells,CSP-1135,orange
Sedona Clay,2174-30,orange
Georgian Brick,HC-50,orange
Pink Moiré,050,orange
Golden Beige,100,orange
Orange Creamsicle,059,orange
Fresh Peach,060,orange
Mexican Tile,1194,orange
Audubon Russet,HC-51,orange
Egyptian Clay,CSP-1140,orange
Summer Peach,2167-70,orange
Queen Anne Pink,HC-60,orange
Careless Whispers,1214,orange
Apricot Beige,1205,orange
Cinnamon 'n Spice,1215,orange
Patina,1195,orange
Mayflower Red,HC-49,orange
Winter Sky,2163-70,orange
Beautiful in My Eyes,1170,orange
Love Always,896,orange
Outer Banks,1206,orange
Lake House,1175,orange
Amaretto,CSP-325,orange
Oregon Trail,1230,orange
Tissue Pink,1163,orange
Milk Shake,1165,orange
Crossroads,1226,orange
Nutmeg,1227,orange
Fox Run,1229,orange
Mountain Retreat,1176,orange
Cowboy Boots,1015,orange
Candle White,2164-70,orange
Basking Ridge Beige,1158,orange
Boudoir,AF-190,orange
Cashmere Wrap,CSP-345,orange
Gaucho Brown,2096-40,orange
Carob,AF-160,orange
Raisin,1237,orange
Soft Satin,2164-60,orange
Saint Martin Sand,2164-50,orange
Deer Field,1159,orange
Venetian Portico,AF-185,orange
Fox Hollow Brown,1235,orange
Sorrel Brown,1236,orange
Falcon Brown,1238,orange
Georgetown Pink Beige,HC-56,orange
Clementine Rose,1219,orange
Winthrop Peach,HC-55,orange
Ipanema,AF-245,orange
Chocolate Pudding,1014,orange
Riding Boots,CSP-300,orange
Ferret Brown,2108-10,orange
Inner Peach,1150,orange
Shorewood,1151,orange
Groundhog Day,1166,orange
Roman Shade,1228,orange
Saddle Soap,2110-30,orange
Chocolate Candy Brown,2107-10,orange
Grizzly Bear Brown,2111-20,orange
Latte,2163-60,orange
Burlap,2163-50,orange
Nature's Symphony,1152,orange
San Carlos Tan,1207,orange
Ten Gallon Hat,1210,orange
Arizona Canyon,1211,orange
Chocolate Truffle,2096-20,orange
Pensacola Pink,1184,orange
Nautilus Shell,064,orange
Adobe Dust,2175-40,orange
Pumpkin Patch,055,orange
Montana Agate,056,orange
Pumice Stone,1197,orange
Abbey Brown,1225,orange
Sweet Salmon,2167-60,orange
Perfect Peach,2167-50,orange
Intense Peach,081,orange
Oriole,2169-30,orange
Rust,2175-30,orange
Pilgrimage Foliage,2175-20,orange
Aztec Brick,2175-10,orange
Daytona Peach,079,orange
Summer Peach Tree,088,orange
Peachy Keen,2014-40,orange
Tangy Orange,2014-30,orange
Rumba Orange,2014-20,orange
Orange Parrot,2169-20,orange
Racing Orange,2169-10,orange
Peach Cooler,022,orange
Cameo Rose,071,orange
Peachland,2168-40,orange
Sunset Boulevard,082,orange
Tangerine Fusion,083,orange
Fiesta Orange,084,orange
Festive Orange,2014-10,orange
Ambrosia,893,orange
Sunfish,095,orange
Succulent Peach,068,orange
Flamingo Orange,075,orange
Golden Cherry,069,orange
Corlsbud Canyon,076,orange
Topaz,070,orange
Peach Melba,078,orange
Juno Peach,087,orange
Hugs & Kisses,097,orange
Orange Blossom,2168-30,orange
Bryce Canyon,098,orange
Pumpkin Cream,2168-20,orange
Fall Harvest,2168-10,orange
Pale Oats,2166-60,orange
Creamy Orange,2166-50,orange
Toffee Orange,2167-40,orange
Vegetable Patch,062,orange
Pennies From Heaven,063,orange
Firenze,AF-225,orange
Tandoori,CSP-1105,orange
Warm Blush,892,orange
Aphrodite Pink,895,orange
Melon Cup,101,orange
Myrtle Beach,061,orange
Sienna Clay,104,orange
Terra Mauve,105,orange
Warmed Cognac,AF-235,orange
Candle Light,099,orange
Sycamore,1137,orange
Milk and Honey,AF-210,orange
Italianate,AF-215,orange
Lenape Trail,1222,orange
Toasted Pecan,1209,orange
Copper Kettle,1218,orange
Orange Sorbet,057,orange
Serendipity,AF-205,orange
Baker's Dozen,1216,orange
Tuscany,1208,orange
Suntan Bronze,1217,orange
Brentwood,1223,orange
Satchel,AF-240,orange
Bayshore Beige,1079,orange
Fox Hedge Tan,1167,orange
Chadwick Brown,1160,orange
Birchwood,1161,orange
Antique Copper,1169,orange
Coyote Trail,1224,orange
Charleston Brown,HC-186,orange
White Oaks,1080,orange
Dark Buff,CSP-320,orange
